uf;evento;data_referencia;total_peso
SC;Apreensão de Cocaína;01/06/2024;58,59
SE;Apreensão de Cocaína;01/06/2024;13,30
SP;Apreensão de Cocaína;01/06/2024;4563,99
TO;Apreensão de Cocaína;01/06/2024;8,13
AC;Apreensão de Cocaína;01/07/2024;165,59
AL;Apreensão de Cocaína;01/07/2024;33,35
AM;Apreensão de Cocaína;01/07/2024;487,12
AP;Apreensão de Cocaína;01/07/2024;
BA;Apreensão de Cocaína;01/07/2024;89,19
CE;Apreensão de Cocaína;01/07/2024;35,57
DF;Apreensão de Cocaína;01/07/2024;32,00
ES;Apreensão de Cocaína;01/07/2024;8,80
GO;Apreensão de Cocaína;01/07/2024;217,36
MA;Apreensão de Cocaína;01/07/2024;257,48
MG;Apreensão de Cocaína;01/07/2024;
MT;Apreensão de Cocaína;01/07/2024;1610,28
PA;Apreensão de Cocaína;01/07/2024;424,73
PB;Apreensão de Cocaína;01/07/2024;61,40
PE;Apreensão de Cocaína;01/07/2024;26,80
PI;Apreensão de Cocaína;01/07/2024;1,07
PR;Apreensão de Cocaína;01/07/2024;601,44
RN;Apreensão de Cocaína;01/07/2024;10,50
RO;Apreensão de Cocaína;01/07/2024;54,53
RR;Apreensão de Cocaína;01/07/2024;6,10
RS;Apreensão de Cocaína;01/07/2024;562,11
SC;Apreensão de Cocaína;01/07/2024;21,18
SE;Apreensão de Cocaína;01/07/2024;16,50
SP;Apreensão de Cocaína;01/07/2024;
TO;Apreensão de Cocaína;01/07/2024;106,71
AC;Apreensão de Maconha;01/01/2024;11,51
AL;Apreensão de Maconha;01/01/2024;227,01
AM;Apreensão de Maconha;01/01/2024;654,48
AP;Apreensão de Maconha;01/01/2024;1,67
BA;Apreensão de Maconha;01/01/2024;189,17
CE;Apreensão de Maconha;01/01/2024;780,12
DF;Apreensão de Maconha;01/01/2024;95,00
ES;Apreensão de Maconha;01/01/2024;11,44
GO;Apreensão de Maconha;01/01/2024;1155,40
MA;Apreensão de Maconha;01/01/2024;416,54
MG;Apreensão de Maconha;01/01/2024;
MS;Apreensão de Maconha;01/01/2024;17815,23
MT;Apreensão de Maconha;01/01/2024;612,14
PA;Apreensão de Maconha;01/01/2024;107,38
PB;Apreensão de Maconha;01/01/2024;83,80
PE;Apreensão de Maconha;01/01/2024;181,03
PI;Apreensão de Maconha;01/01/2024;3,39
PR;Apreensão de Maconha;01/01/2024;15246,78
RJ;Apreensão de Maconha;01/01/2024;
RN;Apreensão de Maconha;01/01/2024;261,25
RO;Apreensão de Maconha;01/01/2024;16,52
RR;Apreensão de Maconha;01/01/2024;157,32
RS;Apreensão de Maconha;01/01/2024;1317,13
SC;Apreensão de Maconha;01/01/2024;2206,90
SE;Apreensão de Maconha;01/01/2024;1002,54
SP;Apreensão de Maconha;01/01/2024;8378,98
TO;Apreensão de Maconha;01/01/2024;
AC;Apreensão de Maconha;01/02/2024;48,67
AL;Apreensão de Maconha;01/02/2024;50,82
AM;Apreensão de Maconha;01/02/2024;9261,82
AP;Apreensão de Maconha;01/02/2024;0,65
BA;Apreensão de Maconha;01/02/2024;263,95
CE;Apreensão de Maconha;01/02/2024;124,21
DF;Apreensão de Maconha;01/02/2024;141,00
ES;Apreensão de Maconha;01/02/2024;3,19
GO;Apreensão de Maconha;01/02/2024;411,64
MA;Apreensão de Maconha;01/02/2024;37,56
MG;Apreensão de Maconha;01/02/2024;
MS;Apreensão de Maconha;01/02/2024;17079,03
MT;Apreensão de Maconha;01/02/2024;526,66
PA;Apreensão de Maconha;01/02/2024;186,71
PB;Apreensão de Maconha;01/02/2024;76,23
PE;Apreensão de Maconha;01/02/2024;101,64
PI;Apreensão de Maconha;01/02/2024;0,58
PR;Apreensão de Maconha;01/02/2024;19274,72
RJ;Apreensão de Maconha;01/02/2024;
RN;Apreensão de Maconha;01/02/2024;53,00
RO;Apreensão de Maconha;01/02/2024;100,00
RR;Apreensão de Maconha;01/02/2024;14,19
RS;Apreensão de Maconha;01/02/2024;1134,50
SC;Apreensão de Maconha;01/02/2024;299,66
SE;Apreensão de Maconha;01/02/2024;144,00
SP;Apreensão de Maconha;01/02/2024;10900,01
TO;Apreensão de Maconha;01/02/2024;
AC;Apreensão de Maconha;01/03/2024;65,24
AL;Apreensão de Maconha;01/03/2024;55,92
AM;Apreensão de Maconha;01/03/2024;1012,05
AP;Apreensão de Maconha;01/03/2024;0,91
BA;Apreensão de Maconha;01/03/2024;280,93
CE;Apreensão de Maconha;01/03/2024;78,32
DF;Apreensão de Maconha;01/03/2024;148,00
ES;Apreensão de Maconha;01/03/2024;5,03
GO;Apreensão de Maconha;01/03/2024;1384,38
MA;Apreensão de Maconha;01/03/2024;148,63
MG;Apreensão de Maconha;01/03/2024;
MS;Apreensão de Maconha;01/03/2024;12431,19
MT;Apreensão de Maconha;01/03/2024;280,22
PA;Apreensão de Maconha;01/03/2024;381,08
PB;Apreensão de Maconha;01/03/2024;37,91
PE;Apreensão de Maconha;01/03/2024;108,69
PI;Apreensão de Maconha;01/03/2024;0,33
PR;Apreensão de Maconha;01/03/2024;17030,77
RJ;Apreensão de Maconha;01/03/2024;
RN;Apreensão de Maconha;01/03/2024;3600,00
RO;Apreensão de Maconha;01/03/2024;147,00
RR;Apreensão de Maconha;01/03/2024;14,26
RS;Apreensão de Maconha;01/03/2024;652,58
SC;Apreensão de Maconha;01/03/2024;1883,46
SE;Apreensão de Maconha;01/03/2024;186,30
SP;Apreensão de Maconha;01/03/2024;3522,37
TO;Apreensão de Maconha;01/03/2024;
AC;Apreensão de Maconha;01/04/2024;472,46
AL;Apreensão de Maconha;01/04/2024;10,41
AM;Apreensão de Maconha;01/04/2024;480,04
AP;Apreensão de Maconha;01/04/2024;1,12
BA;Apreensão de Maconha;01/04/2024;115,88
CE;Apreensão de Maconha;01/04/2024;94,63
DF;Apreensão de Maconha;01/04/2024;176,68
ES;Apreensão de Maconha;01/04/2024;10,87
GO;Apreensão de Maconha;01/04/2024;1162,49
MA;Apreensão de Maconha;01/04/2024;382,32
MG;Apreensão de Maconha;01/04/2024;
MS;Apreensão de Maconha;01/04/2024;50763,19
MT;Apreensão de Maconha;01/04/2024;931,74
PA;Apreensão de Maconha;01/04/2024;3182,04
PB;Apreensão de Maconha;01/04/2024;42,69
PE;Apreensão de Maconha;01/04/2024;149,04
PI;Apreensão de Maconha;01/04/2024;0,90
PR;Apreensão de Maconha;01/04/2024;38950,52
RJ;Apreensão de Maconha;01/04/2024;
RN;Apreensão de Maconha;01/04/2024;59,00
