AIS;Data;Hora;Dia da Semana;Gênero;Idade da Vítima;Escolaridade da Vítima;Raça da Vítima
AIS 22;03/set/23;20:00;Domingo;Feminino;3;Não Alfabetizado;Não Informada
AIS 14;03/set/23;23:00;Domingo;Não Informado;Não Informada;Não Informada;Não Informada
AIS 14;03/set/23;23:00;Domingo;Feminino;17;Ensino Médio Incompleto;Não Informada
AIS 03;04/set/23;18:30;Segunda;Masculino;11;Ensino Fundamental Incompleto;Não Informada
AIS 21;04/set/23;19:30;Segunda;Masculino;6;Alfabetizado;Não Informada
AIS 09;04/set/23;8:00;Segunda;Feminino;3;Não Alfabetizado;Não Informada
AIS 09;04/set/23;15:00;Segunda;Feminino;2;Não Informada;Não Informada
AIS 14;04/set/23;22:00;Segunda;Feminino;17;Alfabetizado;Parda
AIS 25;04/set/23;18:00;Segunda;Masculino;20;Ensino Fundamental Incompleto;Branca
AIS 02;05/set/23;10:00;Terça;Masculino;13;Alfabetizado;Não Informada
AIS 18;05/set/23;12:00;Terça;Feminino;Não Informada;Não Informada;Não Informada
AIS 16;05/set/23;10:40;Terça;Feminino;3;Não Alfabetizado;Parda
AIS 16;05/set/23;10:40;Terça;Feminino;3;Não Alfabetizado;Parda
AIS 19;05/set/23;10:00;Terça;Feminino;12;Alfabetizado;Não Informada
AIS 06;05/set/23;10:00;Terça;Feminino;11;Alfabetizado;Parda
AIS 17;05/set/23;0:00;Terça;Feminino;13;Alfabetizado;Parda
AIS 09;06/set/23;8:06;Quarta;Masculino;15;Não Alfabetizado;Não Informada
AIS 16;06/set/23;16:00;Quarta;Masculino;13;Não Alfabetizado;Não Informada
AIS 07;06/set/23;0:00;Quarta;Feminino;5;Não Alfabetizado;Não Informada
AIS 10;06/set/23;10:00;Quarta;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 19;06/set/23;9:09;Quarta;Feminino;4;Alfabetizado;Parda
AIS 18;06/set/23;17:40;Quarta;Feminino;3;Não Alfabetizado;Não Informada
AIS 14;06/set/23;9:00;Quarta;Feminino;13;Alfabetizado;Parda
AIS 23;06/set/23;10:30;Quarta;Feminino;11;Alfabetizado;Parda
AIS 07;07/set/23;20:00;Quinta;Feminino;Não Informada;Não Informada;Não Informada
AIS 06;07/set/23;21:00;Quinta;Feminino;11;Ensino Fundamental Incompleto;Não Informada
AIS 20;07/set/23;17:00;Quinta;Masculino;7;Não Alfabetizado;Parda
AIS 15;08/set/23;17:00;Sexta;Feminino;11;Alfabetizado;Não Informada
AIS 25;08/set/23;16:00;Sexta;Feminino;7;Não Alfabetizado;Não Informada
AIS 14;08/set/23;15:15;Sexta;Feminino;17;Não Informada;Não Informada
AIS 11;08/set/23;4:00;Sexta;Feminino;45;Ensino Fundamental Completo;Branca
AIS 10;09/set/23;20:45;Sábado;Feminino;4;Não Informada;Não Informada
AIS 10;09/set/23;20:45;Sábado;Feminino;Não Informada;Não Informada;Não Informada
AIS 17;10/set/23;9:30;Domingo;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 25;10/set/23;18:20;Domingo;Feminino;3;Não Alfabetizado;Não Informada
AIS 19;10/set/23;22:00;Domingo;Feminino;22;Ensino Médio Incompleto;Parda
AIS 12;11/set/23;14:30;Segunda;Masculino;8;Ensino Fundamental Incompleto;Branca
AIS 16;11/set/23;10:00;Segunda;Masculino;11;Alfabetizado;Não Informada
AIS 11;11/set/23;14:00;Segunda;Feminino;12;Ensino Fundamental Incompleto;Parda
AIS 16;11/set/23;11:30;Segunda;Feminino;4;Não Alfabetizado;Não Informada
AIS 21;11/set/23;10:00;Segunda;Feminino;7;Não Alfabetizado;Branca
AIS 17;11/set/23;8:00;Segunda;Feminino;13;Alfabetizado;Não Informada
AIS 21;11/set/23;14:30;Segunda;Feminino;18;Ensino Médio Incompleto;Não Informada
AIS 23;11/set/23;9:30;Segunda;Feminino;11;Ensino Fundamental Incompleto;Não Informada
AIS 17;11/set/23;18:00;Segunda;Feminino;11;Alfabetizado;Não Informada
AIS 13;12/set/23;0:00;Terça;Masculino;8;Ensino Fundamental Incompleto;Não Informada
AIS 13;12/set/23;11:30;Terça;Feminino;6;Não Alfabetizado;Parda
AIS 20;12/set/23;16:00;Terça;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 20;12/set/23;16:00;Terça;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 13;12/set/23;0:00;Terça;Feminino;11;Ensino Fundamental Incompleto;Não Informada
AIS 19;12/set/23;10:00;Terça;Feminino;Não Informada;Ensino Fundamental Incompleto;Não Informada
AIS 21;12/set/23;8:00;Terça;Feminino;12;Alfabetizado;Branca
AIS 20;12/set/23;23:00;Terça;Feminino;14;Alfabetizado;Não Informada
AIS 06;12/set/23;8:00;Terça;Feminino;9;Ensino Fundamental Incompleto;Parda
AIS 15;12/set/23;9:00;Terça;Feminino;14;Ensino Fundamental Incompleto;Não Informada
AIS 03;12/set/23;3:30;Terça;Feminino;40;Superior Completo;Não Informada
AIS 15;13/set/23;22:00;Quarta;Masculino;6;Não Alfabetizado;Parda
AIS 07;13/set/23;8:00;Quarta;Masculino;14;Ensino Fundamental Incompleto;Parda
AIS 19;13/set/23;16:45;Quarta;Feminino;2;Não Alfabetizado;Não Informada
AIS 03;13/set/23;18:00;Quarta;Feminino;17;Ensino Fundamental Incompleto;Não Informada
AIS 11;13/set/23;19:00;Quarta;Feminino;13;Alfabetizado;Não Informada
AIS 14;13/set/23;8:00;Quarta;Feminino;Não Informada;Alfabetizado;Não Informada
AIS 14;13/set/23;10:00;Quarta;Feminino;17;Alfabetizado;Não Informada
AIS 01;13/set/23;8:00;Quarta;Feminino;12;Ensino Fundamental Incompleto;Parda
AIS 12;13/set/23;21:30;Quarta;Feminino;11;Alfabetizado;Não Informada
AIS 09;13/set/23;8:00;Quarta;Não Informado;Não Informada;Não Informada;Não Informada
AIS 15;13/set/23;22:00;Quarta;Feminino;30;Alfabetizado;Parda
AIS 12;13/set/23;21:30;Quarta;Feminino;37;Ensino Médio Completo;Não Informada
AIS 08;14/set/23;14:00;Quinta;Feminino;14;Alfabetizado;Parda
AIS 02;14/set/23;17:40;Quinta;Feminino;12;Ensino Fundamental Incompleto;Parda
AIS 14;14/set/23;9:00;Quinta;Feminino;54;Alfabetizado;Branca
AIS 06;15/set/23;13:40;Sexta;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 15;15/set/23;12:30;Sexta;Feminino;11;Alfabetizado;Não Informada
AIS 06;15/set/23;13:40;Sexta;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 21;15/set/23;15:00;Sexta;Feminino;6;Ensino Fundamental Incompleto;Não Informada
AIS 06;15/set/23;13:40;Sexta;Feminino;Não Informada;Ensino Fundamental Incompleto;Não Informada
AIS 05;16/set/23;22:40;Sábado;Masculino;Não Informada;Não Informada;Não Informada
AIS 02;16/set/23;21:00;Sábado;Feminino;49;Alfabetizado;Branca
AIS 19;17/set/23;3:30;Domingo;Feminino;14;Ensino Fundamental Incompleto;Preta
AIS 24;17/set/23;8:00;Domingo;Feminino;4;Não Alfabetizado;Parda
AIS 20;17/set/23;0:00;Domingo;Feminino;13;Ensino Fundamental Completo;Não Informada
AIS 16;17/set/23;22:00;Domingo;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS Não Identificada (Fortaleza);17/set/23;11:00;Domingo;Feminino;41;Superior Completo;Não Informada
AIS 16;17/set/23;10:00;Domingo;Feminino;Não Informada;Alfabetizado;Não Informada
AIS 02;17/set/23;5:00;Domingo;Feminino;58;Não Alfabetizado;Não Informada
AIS 12;18/set/23;8:30;Segunda;Masculino;0;Não Alfabetizado;Parda
AIS 18;18/set/23;9:00;Segunda;Feminino;15;Ensino Fundamental Completo;Não Informada
AIS 18;18/set/23;10:00;Segunda;Feminino;11;Ensino Fundamental Incompleto;Não Informada
AIS 13;18/set/23;9:00;Segunda;Feminino;3;Não Alfabetizado;Não Informada
AIS 04;18/set/23;0:00;Segunda;Feminino;14;Ensino Fundamental Incompleto;Não Informada
AIS 03;18/set/23;10:30;Segunda;Feminino;2;Não Alfabetizado;Parda
AIS 20;18/set/23;0:00;Segunda;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 19;19/set/23;18:30;Terça;Masculino;5;Não Informada;Parda
AIS 11;19/set/23;13:00;Terça;Feminino;4;Não Informada;Não Informada
AIS 09;19/set/23;18:00;Terça;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 14;19/set/23;21:30;Terça;Feminino;14;Alfabetizado;Não Informada
AIS 05;19/set/23;0:00;Terça;Masculino;33;Superior Incompleto;Não Informada
AIS 16;19/set/23;10:37;Terça;Feminino;9;Ensino Fundamental Incompleto;Não Informada
AIS 07;20/set/23;18:00;Quarta;Feminino;8;Alfabetizado;Não Informada
AIS 07;20/set/23;0:00;Quarta;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 03;20/set/23;22:30;Quarta;Feminino;3;Não Alfabetizado;Parda
AIS 16;20/set/23;8:35;Quarta;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 08;20/set/23;0:00;Quarta;Feminino;16;Ensino Médio Incompleto;Não Informada
AIS 03;20/set/23;18:00;Quarta;Feminino;9;Não Informada;Não Informada
AIS 07;20/set/23;0:00;Quarta;Feminino;14;Ensino Fundamental Incompleto;Não Informada
AIS 18;21/set/23;10:00;Quinta;Masculino;7;Alfabetizado;Não Informada
AIS 09;21/set/23;14:00;Quinta;Masculino;13;Não Informada;Não Informada
AIS 09;21/set/23;14:00;Quinta;Feminino;14;Não Informada;Não Informada
AIS 09;21/set/23;14:00;Quinta;Feminino;11;Não Informada;Não Informada
AIS 07;21/set/23;0:00;Quinta;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 24;22/set/23;14:59;Sexta;Feminino;10;Ensino Fundamental Incompleto;Parda
AIS 19;22/set/23;23:00;Sexta;Feminino;11;Ensino Fundamental Incompleto;Não Informada
AIS 14;22/set/23;1:30;Sexta;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 14;22/set/23;8:00;Sexta;Feminino;Não Informada;Ensino Fundamental Incompleto;Parda
AIS 13;23/set/23;8:30;Sábado;Masculino;6;Alfabetizado;Branca
AIS 18;23/set/23;18:30;Sábado;Masculino;12;Alfabetizado;Não Informada
AIS 12;23/set/23;21:30;Sábado;Feminino;5;Ensino Fundamental Incompleto;Não Informada
AIS 11;23/set/23;19:40;Sábado;Feminino;6;Alfabetizado;Não Informada
AIS 19;23/set/23;21:00;Sábado;Feminino;13;Alfabetizado;Não Informada
AIS 11;23/set/23;11:00;Sábado;Feminino;7;Não Alfabetizado;Não Informada
AIS 06;23/set/23;11:30;Sábado;Feminino;Não Informada;Não Informada;Não Informada
AIS 14;23/set/23;23:00;Sábado;Feminino;35;Não Alfabetizado;Parda
AIS 19;24/set/23;9:00;Domingo;Feminino;12;Alfabetizado;Não Informada
AIS 21;24/set/23;2:00;Domingo;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 05;24/set/23;16:30;Domingo;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 15;24/set/23;22:00;Domingo;Feminino;16;Alfabetizado;Não Informada
AIS 14;24/set/23;15:00;Domingo;Feminino;13;Alfabetizado;Não Informada
AIS 06;25/set/23;0:00;Segunda;Feminino;2;Não Alfabetizado;Não Informada
AIS 15;25/set/23;15:30;Segunda;Feminino;5;Não Alfabetizado;Parda
AIS 21;25/set/23;18:30;Segunda;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 05;25/set/23;10:30;Segunda;Feminino;21;Ensino Médio Incompleto;Não Informada
AIS 02;25/set/23;14:00;Segunda;Feminino;65;Alfabetizado;Não Informada
AIS 25;25/set/23;17:00;Segunda;Feminino;7;Ensino Fundamental Incompleto;Não Informada
AIS 16;26/set/23;11:24;Terça;Masculino;10;Ensino Fundamental Incompleto;Não Informada
AIS 24;26/set/23;10:00;Terça;Feminino;7;Ensino Fundamental Incompleto;Não Informada
AIS 19;26/set/23;16:00;Terça;Feminino;11;Ensino Fundamental Incompleto;Parda
AIS 07;26/set/23;0:00;Terça;Feminino;14;Ensino Fundamental Incompleto;Não Informada
AIS 25;26/set/23;17:15;Terça;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 06;26/set/23;17:00;Terça;Feminino;11;Ensino Fundamental Incompleto;Não Informada
AIS 23;26/set/23;15:00;Terça;Feminino;13;Alfabetizado;Não Informada
AIS 21;26/set/23;12:00;Terça;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 24;26/set/23;6:10;Terça;Feminino;11;Alfabetizado;Parda
AIS 07;27/set/23;6:30;Quarta;Masculino;7;Não Informada;Não Informada
AIS 07;27/set/23;16:00;Quarta;Masculino;14;Ensino Fundamental Incompleto;Não Informada
AIS 16;27/set/23;11:15;Quarta;Feminino;5;Não Alfabetizado;Não Informada
AIS 16;27/set/23;11:15;Quarta;Feminino;2;Não Alfabetizado;Não Informada
AIS 13;27/set/23;15:00;Quarta;Feminino;16;Ensino Médio Completo;Não Informada
AIS 14;28/set/23;16:30;Quinta;Feminino;11;Ensino Fundamental Incompleto;Não Informada
AIS 18;28/set/23;22:00;Quinta;Feminino;Não Informada;Ensino Fundamental Incompleto;Branca
AIS 09;28/set/23;0:00;Quinta;Feminino;6;Não Alfabetizado;Não Informada
AIS 02;28/set/23;0:00;Quinta;Feminino;16;Ensino Fundamental Incompleto;Parda
AIS 12;28/set/23;15:00;Quinta;Feminino;9;Alfabetizado;Não Informada
AIS 16;28/set/23;10:00;Quinta;Feminino;Não Informada;Alfabetizado;Não Informada
AIS 11;29/set/23;12:00;Sexta;Feminino;13;Alfabetizado;Parda
AIS 14;29/set/23;22:00;Sexta;Feminino;14;Alfabetizado;Não Informada
AIS 04;29/set/23;15:00;Sexta;Masculino;19;Não Informada;Não Informada
AIS 04;29/set/23;15:00;Sexta;Masculino;25;Não Informada;Não Informada
AIS 04;30/set/23;16:37;Sábado;Masculino;7;Não Informada;Não Informada
AIS 09;30/set/23;5:00;Sábado;Feminino;16;Ensino Médio Completo;Não Informada
AIS 04;30/set/23;16:37;Sábado;Feminino;3;Não Informada;Não Informada
AIS 08;30/set/23;16:54;Sábado;Feminino;Não Informada;Não Alfabetizado;Parda
AIS 05;01/out/23;12:00;Domingo;Feminino;15;Alfabetizado;Não Informada
AIS 04;01/out/23;18:00;Domingo;Feminino;13;Ensino Fundamental Incompleto;Parda
AIS 16;01/out/23;10:00;Domingo;Feminino;5;Alfabetizado;Não Informada
AIS 15;01/out/23;0:30;Domingo;Não Informado;Não Informada;Não Informada;Não Informada
AIS 14;01/out/23;18:30;Domingo;Masculino;15;Ensino Médio Incompleto;Amarela
AIS 14;01/out/23;9:00;Domingo;Feminino;3;Não Alfabetizado;Parda
AIS 06;01/out/23;12:25;Domingo;Feminino;22;Alfabetizado;Não Informada
AIS 17;01/out/23;18:00;Domingo;Feminino;31;Não Alfabetizado;Não Informada
AIS 11;02/out/23;12:40;Segunda;Feminino;14;Ensino Fundamental Completo;Não Informada
AIS 08;02/out/23;10:00;Segunda;Feminino;2;Não Informada;Não Informada
AIS 24;02/out/23;22:00;Segunda;Feminino;14;Não Informada;Não Informada
AIS 19;02/out/23;23:00;Segunda;Feminino;14;Ensino Fundamental Incompleto;Parda
AIS 23;02/out/23;12:00;Segunda;Feminino;9;Alfabetizado;Não Informada
AIS 14;02/out/23;12:00;Segunda;Feminino;15;Alfabetizado;Branca
AIS 14;02/out/23;12:00;Segunda;Feminino;11;Alfabetizado;Branca
AIS 14;02/out/23;12:00;Segunda;Feminino;15;Alfabetizado;Parda
AIS 21;02/out/23;22:00;Segunda;Feminino;Não Informada;Ensino Médio Incompleto;Parda
AIS 09;03/out/23;8:00;Terça;Feminino;22;Ensino Médio Completo;Branca
AIS 19;03/out/23;15:30;Terça;Feminino;13;Alfabetizado;Não Informada
AIS 01;03/out/23;6:30;Terça;Feminino;16;Ensino Médio Incompleto;Parda
AIS 14;03/out/23;9:30;Terça;Feminino;42;Ensino Médio Completo;Não Informada
AIS 06;03/out/23;21:00;Terça;Feminino;31;Ensino Médio Completo;Branca
AIS 22;04/out/23;19:00;Quarta;Feminino;14;Ensino Fundamental Incompleto;Branca
AIS 19;04/out/23;18:30;Quarta;Feminino;14;Alfabetizado;Não Informada
AIS 16;04/out/23;15:00;Quarta;Feminino;Não Informada;Não Informada;Parda
AIS 17;04/out/23;2:00;Quarta;Feminino;21;Superior Incompleto;Não Informada
AIS 06;05/out/23;4:00;Quinta;Masculino;23;Ensino Médio Incompleto;Não Informada
AIS 17;05/out/23;8:00;Quinta;Feminino;9;Alfabetizado;Parda
AIS 17;05/out/23;13:00;Quinta;Feminino;5;Não Alfabetizado;Parda
AIS 05;06/out/23;10:00;Sexta;Masculino;13;Não Informada;Não Informada
AIS 23;06/out/23;11:00;Sexta;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 17;06/out/23;11:10;Sexta;Feminino;11;Alfabetizado;Não Informada
AIS 02;06/out/23;12:00;Sexta;Feminino;10;Ensino Fundamental Incompleto;Não Informada
AIS 05;06/out/23;10:00;Sexta;Feminino;11;Não Informada;Não Informada
AIS 20;06/out/23;9:00;Sexta;Feminino;10;Ensino Fundamental Incompleto;Não Informada
AIS 19;06/out/23;14:00;Sexta;Feminino;Não Informada;Alfabetizado;Não Informada
AIS 01;06/out/23;15:30;Sexta;Feminino;23;Ensino Médio Completo;Não Informada
AIS 01;06/out/23;15:30;Sexta;Feminino;21;Ensino Médio Incompleto;Não Informada
AIS 17;07/out/23;14:00;Sábado;Feminino;Não Informada;Não Informada;Parda
AIS 18;07/out/23;0:00;Sábado;Feminino;45;Ensino Médio Completo;Não Informada
AIS 16;07/out/23;10:00;Sábado;Feminino;20;Ensino Médio Completo;Não Informada
AIS 16;07/out/23;10:00;Sábado;Feminino;19;Ensino Médio Completo;Não Informada
AIS 02;07/out/23;17:00;Sábado;Feminino;45;Ensino Médio Completo;Não Informada
AIS 06;07/out/23;0:30;Sábado;Feminino;18;Ensino Médio Incompleto;Não Informada
AIS 19;08/out/23;20:00;Domingo;Feminino;8;Ensino Fundamental Incompleto;Não Informada
AIS 18;08/out/23;8:00;Domingo;Feminino;7;Ensino Fundamental Incompleto;Não Informada
AIS 03;08/out/23;3:00;Domingo;Feminino;Não Informada;Não Alfabetizado;Não Informada
AIS 08;08/out/23;11:00;Domingo;Feminino;3;Não Alfabetizado;Parda
AIS 15;08/out/23;5:20;Domingo;Feminino;21;Ensino Fundamental Completo;Não Informada
AIS 15;09/out/23;10:30;Segunda;Feminino;9;Alfabetizado;Não Informada
AIS 14;09/out/23;8:00;Segunda;Feminino;4;Alfabetizado;Branca
AIS 14;09/out/23;10:30;Segunda;Feminino;13;Ensino Fundamental Completo;Parda
AIS 13;09/out/23;0:00;Segunda;Feminino;Não Informada;Alfabetizado;Não Informada
AIS 18;10/out/23;18:00;Terça;Masculino;9;Alfabetizado;Branca
AIS 15;10/out/23;12:40;Terça;Feminino;14;Alfabetizado;Não Informada
AIS 06;10/out/23;12:00;Terça;Feminino;2;Não Alfabetizado;Não Informada
AIS 05;11/out/23;17:25;Quarta;Masculino;3;Não Alfabetizado;Não Informada
AIS 16;11/out/23;10:00;Quarta;Feminino;11;Alfabetizado;Não Informada
AIS 18;11/out/23;16:30;Quarta;Feminino;Não Informada;Não Informada;Não Informada
AIS 20;11/out/23;16:52;Quarta;Feminino;Não Informada;Não Informada;Branca
AIS 05;11/out/23;20:20;Quarta;Feminino;23;Ensino Fundamental Incompleto;Não Informada
AIS 20;12/out/23;10:00;Quinta;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 19;13/out/23;15:00;Sexta;Feminino;10;Não Informada;Parda
AIS 09;14/out/23;8:00;Sábado;Feminino;9;Alfabetizado;Não Informada
AIS 22;14/out/23;23:10;Sábado;Feminino;10;Ensino Fundamental Incompleto;Preta
AIS 11;14/out/23;21:30;Sábado;Feminino;12;Ensino Fundamental Incompleto;Parda
AIS 18;14/out/23;17:00;Sábado;Feminino;15;Ensino Médio Incompleto;Não Informada
AIS 18;14/out/23;12:00;Sábado;Feminino;28;Ensino Médio Incompleto;Não Informada
AIS 25;15/out/23;9:00;Domingo;Feminino;4;Não Alfabetizado;Não Informada
AIS 19;15/out/23;18:00;Domingo;Feminino;13;Alfabetizado;Branca
AIS 25;15/out/23;1:00;Domingo;Feminino;Não Informada;Não Informada;Não Informada
AIS 14;15/out/23;19:00;Domingo;Feminino;13;Ensino Fundamental Incompleto;Parda
AIS 23;15/out/23;23:00;Domingo;Feminino;1;Não Alfabetizado;Não Informada
AIS 23;15/out/23;23:00;Domingo;Feminino;1;Não Alfabetizado;Não Informada
AIS 25;15/out/23;12:00;Domingo;Feminino;32;Ensino Fundamental Incompleto;Não Informada
AIS 14;15/out/23;22:30;Domingo;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 07;15/out/23;3:30;Domingo;Feminino;29;Superior Completo;Não Informada
AIS 14;16/out/23;9:00;Segunda;Feminino;12;Alfabetizado;Não Informada
AIS 19;16/out/23;20:40;Segunda;Feminino;11;Alfabetizado;Parda
AIS 17;16/out/23;20:47;Segunda;Feminino;2;Não Alfabetizado;Não Informada
AIS 09;16/out/23;13:30;Segunda;Feminino;5;Não Alfabetizado;Parda
AIS 21;16/out/23;20:40;Segunda;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 20;17/out/23;10:00;Terça;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 14;17/out/23;21:00;Terça;Feminino;12;Ensino Fundamental Incompleto;Parda
AIS 11;17/out/23;11:00;Terça;Feminino;14;Ensino Fundamental Incompleto;Parda
AIS 20;17/out/23;10:00;Terça;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 01;17/out/23;16:40;Terça;Feminino;16;Ensino Médio Incompleto;Não Informada
AIS 14;17/out/23;23:30;Terça;Feminino;14;Não Informada;Não Informada
AIS 14;17/out/23;20:00;Terça;Masculino;12;Não Alfabetizado;Amarela
AIS 16;18/out/23;19:15;Quarta;Feminino;11;Alfabetizado;Parda
AIS 24;18/out/23;0:30;Quarta;Feminino;5;Não Alfabetizado;Parda
AIS 02;18/out/23;14:40;Quarta;Feminino;4;Não Alfabetizado;Não Informada
AIS 15;18/out/23;12:00;Quarta;Feminino;16;Ensino Fundamental Completo;Branca
AIS 02;18/out/23;8:00;Quarta;Feminino;13;Ensino Fundamental Incompleto;Parda
AIS 16;18/out/23;3:00;Quarta;Feminino;41;Ensino Fundamental Completo;Não Informada
AIS 19;18/out/23;17:00;Quarta;Feminino;53;Alfabetizado;Não Informada
AIS 19;19/out/23;4:30;Quinta;Masculino;9;Alfabetizado;Não Informada
AIS 19;19/out/23;6:40;Quinta;Masculino;9;Não Alfabetizado;Não Informada
AIS 02;19/out/23;12:00;Quinta;Masculino;10;Não Informada;Não Informada
AIS 17;19/out/23;10:00;Quinta;Masculino;6;Alfabetizado;Não Informada
AIS 04;19/out/23;11:00;Quinta;Masculino;4;Não Alfabetizado;Branca
AIS 21;19/out/23;9:00;Quinta;Feminino;Não Informada;Não Informada;Não Informada
AIS 18;19/out/23;12:00;Quinta;Feminino;9;Alfabetizado;Não Informada
AIS 20;19/out/23;14:30;Quinta;Feminino;6;Não Alfabetizado;Não Informada
AIS 19;19/out/23;12:00;Quinta;Feminino;12;Alfabetizado;Não Informada
AIS 17;19/out/23;10:00;Quinta;Feminino;7;Alfabetizado;Não Informada
AIS 21;19/out/23;14:48;Quinta;Feminino;2;Não Informada;Não Informada
AIS 17;19/out/23;18:30;Quinta;Masculino;10;Ensino Fundamental Incompleto;Não Informada
AIS 10;20/out/23;19:00;Sexta;Masculino;11;Não Informada;Não Informada
AIS 13;20/out/23;15:00;Sexta;Feminino;13;Alfabetizado;Não Informada
AIS 06;20/out/23;17:00;Sexta;Feminino;18;Não Informada;Não Informada
AIS 06;20/out/23;16:00;Sexta;Feminino;14;Ensino Fundamental Incompleto;Não Informada
AIS 25;20/out/23;18:00;Sexta;Feminino;16;Ensino Fundamental Completo;Não Informada
AIS 25;20/out/23;18:00;Sexta;Feminino;7;Ensino Fundamental Incompleto;Parda
AIS 25;20/out/23;18:00;Sexta;Feminino;13;Ensino Fundamental Incompleto;Parda
AIS 05;21/out/23;8:00;Sábado;Feminino;7;Alfabetizado;Parda
AIS 07;21/out/23;17:40;Sábado;Feminino;17;Alfabetizado;Não Informada
AIS 10;21/out/23;23:00;Sábado;Feminino;13;Alfabetizado;Não Informada
AIS 19;21/out/23;19:00;Sábado;Feminino;33;Superior Incompleto;Não Informada
AIS 17;22/out/23;0:00;Domingo;Feminino;13;Ensino Fundamental Incompleto;Parda
AIS 14;22/out/23;7:30;Domingo;Feminino;8;Alfabetizado;Não Informada
AIS 17;22/out/23;16:00;Domingo;Feminino;9;Ensino Fundamental Incompleto;Não Informada
AIS 25;22/out/23;20:00;Domingo;Feminino;16;Ensino Fundamental Completo;Não Informada
AIS 17;22/out/23;4:00;Domingo;Feminino;20;Ensino Médio Completo;Não Informada
AIS 25;22/out/23;20:00;Domingo;Feminino;13;Ensino Fundamental Incompleto;Parda
AIS 08;23/out/23;8:00;Segunda;Feminino;17;Não Informada;Parda
AIS 20;23/out/23;10:30;Segunda;Feminino;13;Não Informada;Não Informada
AIS 11;23/out/23;16:30;Segunda;Feminino;2;Não Alfabetizado;Não Informada
AIS 15;23/out/23;19:00;Segunda;Masculino;27;Ensino Médio Completo;Não Informada
AIS 15;23/out/23;19:00;Segunda;Masculino;62;Alfabetizado;Parda
AIS 17;23/out/23;11:30;Segunda;Feminino;26;Alfabetizado;Parda
AIS 09;24/out/23;10:00;Terça;Masculino;2;Não Informada;Não Informada
AIS 03;24/out/23;14:00;Terça;Feminino;4;Não Alfabetizado;Não Informada
AIS 16;24/out/23;14:40;Terça;Feminino;14;Ensino Fundamental Incompleto;Não Informada
AIS 19;25/out/23;6:30;Quarta;Feminino;12;Ensino Fundamental Incompleto;Não Informada
AIS 14;25/out/23;10:00;Quarta;Feminino;11;Alfabetizado;Não Informada
AIS 08;25/out/23;0:00;Quarta;Feminino;14;Não Informada;Não Informada
AIS 14;25/out/23;9:00;Quarta;Feminino;13;Alfabetizado;Parda
AIS 18;25/out/23;1:00;Quarta;Feminino;Não Informada;Não Informada;Não Informada
AIS Não Identificada (Fortaleza);25/out/23;0:00;Quarta;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 17;25/out/23;8:00;Quarta;Feminino;3;Não Alfabetizado;Não Informada
AIS 19;25/out/23;12:00;Quarta;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 14;25/out/23;9:00;Quarta;Feminino;13;Alfabetizado;Parda
AIS 16;26/out/23;11:01;Quinta;Feminino;15;Ensino Fundamental Incompleto;Não Informada
AIS 14;26/out/23;10:00;Quinta;Feminino;11;Alfabetizado;Não Informada
AIS 17;26/out/23;11:30;Quinta;Feminino;13;Ensino Fundamental Incompleto;Não Informada
AIS 21;26/out/23;9:00;Quinta;Feminino;14;Não Informada;Parda
AIS 02;26/out/23;11:00;Quinta;Feminino;9;Ensino Fundamental Incompleto;Não Informada
AIS 02;26/out/23;11:00;Quinta;Feminino;9;Não Informada;Não Informada
AIS 10;26/out/23;23:00;Quinta;Feminino;Não Informada;Ensino Fundamental Incompleto;Parda
AIS 09;27/out/23;17:30;Sexta;Masculino;15;Ensino Fundamental Incompleto;Não Informada
AIS 07;27/out/23;10:00;Sexta;Feminino;11;Ensino Fundamental Incompleto;Não Informada
AIS 07;27/out/23;10:00;Sexta;Feminino;13;Não Informada;Não Informada
